Key,Layer Type,Segment,Cost Type,Cost Object,Spend type,Market Segment,Internal Staff,External Staff,SW Depreciation,HW Depreciation,SW Maintenance,HW Maintenance,Leased Lines,Other IT Cost,Other OOE,Total
1,Direct,Energy,0,KST 1485            Energy IT London,Run,Commodities,28,0,0,0,0,0,0,0,0,28
2,Direct,Energy,0,KST 1485            Energy IT London,Run,Result,28,0,0,0,0,0,0,0,0,28
3,Shared Layer,Overhead,Other,KST 1600            Market Operations,Run,Cash,-29,0,0,0,0,0,0,0,-1,-30
4,Shared Layer,Overhead,Other,KST 1600            Market Operations,Run,Clearstream,-978,0,0,0,0,0,0,0,-26,"-1,005"
5,Shared Layer,Overhead,Other,KST 1600            Market Operations,Run,Data,-43,0,0,0,0,0,0,0,-1,-45
6,Shared Layer,Overhead,Other,KST 1600            Market Operations,Run,Eurex,-58,0,0,0,0,0,0,0,-2,-60
7,Shared Layer,Overhead,Other,KST 1600            Market Operations,Run,GSF,-57,0,0,0,0,0,0,0,-2,-58
8,Shared Layer,Overhead,Other,KST 1600            Market Operations,Run,IFS,-284,0,0,0,0,0,0,0,-8,-292
9,Shared Layer,Overhead,Other,KST 1600            Market Operations,Run,Result,"-1,449",0,0,0,0,0,0,0,-39,"-1,489"
10,Shared Layer,Shared Infr.,Digital Workplace,KST 2214            Dig.Strat& Perf.Mark,Run,Cash,-79,0,0,0,0,0,0,0,0,-79
11,Shared Layer,Shared Infr.,Digital Workplace,KST 2214            Dig.Strat& Perf.Mark,Run,Clearstream,-69,0,0,0,0,0,0,0,0,-69
12,Shared Layer,Shared Infr.,Digital Workplace,KST 2214            Dig.Strat& Perf.Mark,Run,Data,-20,0,0,0,0,0,0,0,0,-20
13,Shared Layer,Shared Infr.,Digital Workplace,KST 2214            Dig.Strat& Perf.Mark,Run,Eurex,-91,0,0,0,0,0,0,0,0,-91
14,Shared Layer,Shared Infr.,Digital Workplace,KST 2214            Dig.Strat& Perf.Mark,Run,Foreign Exchange,-3,0,0,0,0,0,0,0,0,-3
15,Shared Layer,Shared Infr.,Digital Workplace,KST 2214            Dig.Strat& Perf.Mark,Run,GSF,-24,0,0,0,0,0,0,0,0,-24
16,Shared Layer,Shared Infr.,Digital Workplace,KST 2214            Dig.Strat& Perf.Mark,Run,IFS,-5,0,0,0,0,0,0,0,0,-5
17,Shared Layer,Shared Infr.,Digital Workplace,KST 2214            Dig.Strat& Perf.Mark,Run,Index,-40,0,0,0,0,0,0,0,0,-40
18,Shared Layer,Shared Infr.,Digital Workplace,KST 2214            Dig.Strat& Perf.Mark,Run,Result,-329,0,0,0,0,0,0,0,0,-330
19,Shared Layer,Overhead,Other,KST 2300            CIO,Run,Cash,-728,-225,0,0,-1,0,0,0,-34,-989
20,Shared Layer,Overhead,Other,KST 2300            CIO,Run,Clearstream,"-2,096",-647,0,0,-1,0,0,0,-99,"-2,845"
